v0,691,196
v1,600,214
v2,637,183
v3,542,561
v4,617,232
v5,642,252
v6,585,255
v7,571,236
v8,577,341
v9,576,309
v10,561,321
v11,546,334
v12,560,353
v13,545,365
v14,530,345
v15,531,377
v16,514,357
v17,568,386
v18,550,400
v19,536,414
v20,497,369
v21,529,261
v22,514,276
v23,492,245
v24,479,227
v25,474,308
v26,468,365
v27,443,337
v28,430,348
v29,455,375
v30,496,417
v31,540,434
v32,535,453
v33,474,437
v34,452,454
v35,418,412
v36,435,396
v37,415,459
v38,383,388
v39,406,369
v40,380,342
v41,363,356
v42,403,325
v43,428,306
v44,440,289
v45,425,273
v46,403,282
v47,379,308
v48,362,322
v49,344,337
v50,404,248
v51,385,223
v52,433,204
v53,385,266
v54,361,288
v55,367,244
v56,340,266
v57,345,305
v58,326,322
v59,302,302
v60,322,284
v61,301,263
v62,317,245
v63,304,228
v64,288,242
v65,260,267
v66,251,225
v67,216,207
v68,242,162
v69,269,189
v70,307,132
v71,281,104
v72,224,56
v73,156,202
v74,123,188
v75,162,120
v76,175,135
v77,187,30
v78,250,22
v79,197,193
v80,229,184
v81,402,424
v82,350,185
v84,281,285
v85,172,179
